epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.18795,0,119.269,0,0,0,0,0,0,15.75,0,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05
2,11.167,0,119.216,0,0,0,0,0,0,15.75,0,0.000296376,9.87921e-05,0.000296376,9.87921e-05,0.000296376,9.87921e-05,0.000296376,9.87921e-05
3,15.7932,0,119.195,0,0,0,0,0,0,15.75,0,0.000459899,0.0001533,0.000459899,0.0001533,0.000459899,0.0001533,0.000459899,0.0001533
4,22.3079,0,117.952,0,0,0,0,0,0,15.75,0,0.000619177,0.000206392,0.000619177,0.000206392,0.000619177,0.000206392,0.000619177,0.000206392
5,26.3469,0,116.297,0,0,0,0,0,0,15.75,0,0.000774211,0.00025807,0.000774211,0.00025807,0.000774211,0.00025807,0.000774211,0.00025807
6,30.1986,0,114.883,0,0,0,0,0,0,15.75,0,0.000925001,0.000308334,0.000925001,0.000308334,0.000925001,0.000308334,0.000925001,0.000308334
7,34.138,0,113.261,0,0,0,0,0,0,15.75,0,0.00107155,0.000357182,0.00107155,0.000357182,0.00107155,0.000357182,0.00107155,0.000357182
8,38.3351,0,111.272,0,0,0,0,0,0,15.75,0,0.00121385,0.000404616,0.00121385,0.000404616,0.00121385,0.000404616,0.00121385,0.000404616
9,42.2021,0,108.946,0,0,0,0,0,0,15.75,0,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635
10,45.6807,0,106.318,0,0,0,0,0,0,15.75,0,0.00148572,0.00049524,0.00148572,0.00049524,0.00148572,0.00049524,0.00148572,0.00049524
11,49.3128,0,103.472,0,0,0,0,0,0,15.75,0,0.00161529,0.000538429,0.00161529,0.000538429,0.00161529,0.000538429,0.00161529,0.000538429
12,53.1302,0,100.384,0,0,0,0,0,0,15.75,0,0.00174061,0.000580204,0.00174061,0.000580204,0.00174061,0.000580204,0.00174061,0.000580204
13,57.128,0,96.8537,0,0,0,0,0,0,15.75,0,0.00186169,0.000620565,0.00186169,0.000620565,0.00186169,0.000620565,0.00186169,0.000620565
14,58.8615,0,94.1638,0,0,0,0,0,0,15.75,0,0.00197853,0.00065951,0.00197853,0.00065951,0.00197853,0.00065951,0.00197853,0.00065951
15,60.4961,0,91.8197,0,0,0,0,0,0,15.75,0,0.00209112,0.000697041,0.00209112,0.000697041,0.00209112,0.000697041,0.00209112,0.000697041
16,61.9558,0,88.7555,0,0,0,0,0,0,15.75,0,0.00219947,0.000733157,0.00219947,0.000733157,0.00219947,0.000733157,0.00219947,0.000733157
17,63.4328,0,86.0593,0,0,0,0,0,0,15.75,0,0.00230358,0.000767859,0.00230358,0.000767859,0.00230358,0.000767859,0.00230358,0.000767859
18,65.2522,0,83.2399,0,0,0,0,0,0,15.75,0,0.00240344,0.000801146,0.00240344,0.000801146,0.00240344,0.000801146,0.00240344,0.000801146
19,66.7587,0,79.9391,0,0,0,0,0,0,15.75,0,0.00249905,0.000833018,0.00249905,0.000833018,0.00249905,0.000833018,0.00249905,0.000833018
20,68.2729,0,76.9542,0,0,0,0,0,0,15.75,0,0.00259043,0.000863475,0.00259043,0.000863475,0.00259043,0.000863475,0.00259043,0.000863475
21,70.1738,0,73.833,0,0,0,0,0,0,15.75,0,0.00267755,0.000892518,0.00267755,0.000892518,0.00267755,0.000892518,0.00267755,0.000892518
22,72.8384,0,70.8479,0,0,0,0,0,0,15.75,0,0.00276044,0.000920146,0.00276044,0.000920146,0.00276044,0.000920146,0.00276044,0.000920146
23,76.1418,0,68.2036,0,0,0,0,0,0,15.75,0,0.00283908,0.000946359,0.00283908,0.000946359,0.00283908,0.000946359,0.00283908,0.000946359
24,79.4427,0,65.6321,0,0,0,0,0,0,15.7422,0,0.00291347,0.000971157,0.00291347,0.000971157,0.00291347,0.000971157,0.00291347,0.000971157
25,83.5267,0,62.989,0,0,0,0,0,0,15.7109,0,0.00298362,0.000994541,0.00298362,0.000994541,0.00298362,0.000994541,0.00298362,0.000994541
26,86.9617,0,60.359,0,0,0,0,0,0,15.5938,0,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903
27,89.9929,0,57.6975,0,0,0,0,0,0,15.2891,0,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219
28,93.0653,0,55.1037,0,0,0,0,0,0,14.4844,0,0.00285461,0.000951535,0.00285461,0.000951535,0.00285461,0.000951535,0.00285461,0.000951535
29,96.713,0,52.655,0,0,0,0,0,0,12.9688,0,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
30,98.7198,0,50.3857,0,0,0,0,0,0,10.8438,0,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168
31,100.875,0,48.211,0,0,0,0,0,0,8.25781,0,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484
32,104.22,0,45.8381,0,0,0,0,0,0,5.66406,0,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808
33,107.415,0,43.766,0,0,0,0,0,0,3.50586,0,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
34,111.337,0,41.7752,0,0,0,0,0,0,2.08008,0,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432
35,113.766,0,39.9329,0,0,0,0,0,0,1.17969,0,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748
36,115.347,0,38.1162,0,0,0,0,0,0,0.66602,0,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064
37,116.841,0,36.3963,0,0,0,0,0,0,0.39648,0,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
38,119.015,0,34.7343,0,0,0,0,0,0,0.19922,0,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697
39,122.549,0,33.1774,0,0,0,0,0,0,0.10938,0,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013
40,126.251,0,31.7245,0,0,0,0,0,0,0.06055,0,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329
41,129.495,0,30.3014,0,0,0,0,0,0,0.0293,0,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
42,132.505,0,28.9735,0,0,0,0,0,0,0.01172,0,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961
43,135.763,0,27.7389,0,0,0,0,0,0,0.00586,0,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277
44,138.975,0,26.5607,0,0,0,0,0,0,0.00391,0,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593
45,141.859,0,25.4339,0,0,0,0,0,0,0.00195,0,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
46,143.918,0,24.391,0,0,0,0,0,0,0,0,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226
47,146.071,0,23.3768,0,0,0,0,0,0,0,0,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542
48,148.377,0,22.4495,0,0,0,0,0,0,0,0,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858
49,151.884,0,21.5618,0,0,0,0,0,0,0,0,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
50,155.309,0,20.7344,0,0,0,0,0,0,0,0,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249
51,158.586,0,19.8956,0,0,0,0,0,0,0,0,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806
52,161.925,0,19.1556,0,0,0,0,0,0,0,0,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122
53,164.981,0,18.5128,0,0,0,0,0,0,0,0,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
54,168.351,0,17.7659,0,0,0,0,0,0,0,0,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755
55,172.207,0,17.2112,0,0,0,0,0,0,0,0,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071
