epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.1781,1.91984,3.60362,1.96498,0.00776,1,0.52562,0.22336,1.2252,3.06354,2.18576,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05
2,47.3363,1.97245,3.63835,2.12011,0.00806,1,0.53528,0.24203,1.21083,3.06194,2.12927,0.000296376,9.87921e-05,0.000296376,9.87921e-05,0.000296376,9.87921e-05,0.000296376,9.87921e-05
3,51.3146,1.90937,3.54747,1.93678,0.00852,1,0.58232,0.25337,1.19118,3.04594,2.1227,0.000459899,0.0001533,0.000459899,0.0001533,0.000459899,0.0001533,0.000459899,0.0001533
4,57.0243,1.83953,3.56977,1.96454,0.0085,1,0.52478,0.19897,1.19973,3.05235,2.18964,0.000619177,0.000206392,0.000619177,0.000206392,0.000619177,0.000206392,0.000619177,0.000206392
5,59.4802,1.86428,3.60203,1.94355,0.00862,1,0.44077,0.18413,1.18233,3.05068,2.1738,0.000774211,0.00025807,0.000774211,0.00025807,0.000774211,0.00025807,0.000774211,0.00025807
6,61.9573,1.7671,3.40781,1.79156,0.00888,1,0.42924,0.18305,1.17002,3.06372,2.14378,0.000925001,0.000308334,0.000925001,0.000308334,0.000925001,0.000308334,0.000925001,0.000308334
7,64.379,1.82714,3.52302,1.82534,0.0093,1,0.423,0.17961,1.13059,3.05607,2.11886,0.00107155,0.000357182,0.00107155,0.000357182,0.00107155,0.000357182,0.00107155,0.000357182
8,66.6645,1.69923,3.50478,1.82147,0.00962,1,0.30586,0.1599,1.04398,3.05063,2.01582,0.00121385,0.000404616,0.00121385,0.000404616,0.00121385,0.000404616,0.00121385,0.000404616
9,68.9489,1.60733,3.42231,1.76258,0.01013,1,0.29224,0.16726,0.97564,3.03581,1.94311,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635
10,71.2531,1.46446,3.38585,1.5751,0.0106,1,0.29449,0.17006,0.90283,3.03269,1.84964,0.00148572,0.00049524,0.00148572,0.00049524,0.00148572,0.00049524,0.00148572,0.00049524
11,73.5068,1.44054,3.31962,1.49126,0.011,1,0.29838,0.1835,0.83388,3.03744,1.80699,0.00161529,0.000538429,0.00161529,0.000538429,0.00161529,0.000538429,0.00161529,0.000538429
12,75.7617,1.2986,3.28306,1.41722,0.01154,1,0.28157,0.17755,0.79359,3.01999,1.75468,0.00174061,0.000580204,0.00174061,0.000580204,0.00174061,0.000580204,0.00174061,0.000580204
13,77.8928,1.24813,3.26845,1.34587,0.01158,1,0.43627,0.1659,0.85602,3.01873,1.80795,0.00186169,0.000620565,0.00186169,0.000620565,0.00186169,0.000620565,0.00186169,0.000620565
14,79.8568,1.0607,3.165,1.33783,0.01171,1,0.3963,0.20714,0.8719,3.01751,1.79152,0.00197853,0.00065951,0.00197853,0.00065951,0.00197853,0.00065951,0.00197853,0.00065951
15,81.9744,1.01234,3.11173,1.23204,0.01316,1,0.43491,0.23879,0.77533,3.00388,1.59341,0.00209112,0.000697041,0.00209112,0.000697041,0.00209112,0.000697041,0.00209112,0.000697041
16,83.8419,0.92064,3.00286,1.17652,0.01309,1,0.41736,0.23356,0.75647,3.00249,1.55879,0.00219947,0.000733157,0.00219947,0.000733157,0.00219947,0.000733157,0.00219947,0.000733157
17,85.6636,0.89859,3.03768,1.16249,0.01284,1,0.4975,0.27658,0.75517,2.99418,1.53618,0.00230358,0.000767859,0.00230358,0.000767859,0.00230358,0.000767859,0.00230358,0.000767859
18,87.6729,0.8535,2.92494,1.14653,0.01375,1,0.66333,0.42679,0.69059,2.97288,1.46797,0.00240344,0.000801146,0.00240344,0.000801146,0.00240344,0.000801146,0.00240344,0.000801146
19,89.514,0.81888,2.94081,1.15378,0.01377,1,0.4936,0.29518,0.69747,2.95,1.46612,0.00249905,0.000833018,0.00249905,0.000833018,0.00249905,0.000833018,0.00249905,0.000833018
20,91.3806,0.81555,2.7237,1.12709,0.01394,1,0.49727,0.29368,0.67847,2.94967,1.44075,0.00259043,0.000863475,0.00259043,0.000863475,0.00259043,0.000863475,0.00259043,0.000863475
21,93.5701,0.79512,2.6706,1.08745,0.01507,1,0.43205,0.28703,0.59683,2.92036,1.3877,0.00267755,0.000892518,0.00267755,0.000892518,0.00267755,0.000892518,0.00267755,0.000892518
22,95.4798,0.76029,2.67164,1.0922,0.01452,1,0.49667,0.33056,0.57843,2.88527,1.34868,0.00276044,0.000920146,0.00276044,0.000920146,0.00276044,0.000920146,0.00276044,0.000920146
23,97.358,0.7254,2.48353,1.04996,0.01372,1,0.52553,0.38223,0.60689,2.84723,1.32429,0.00283908,0.000946359,0.00283908,0.000946359,0.00283908,0.000946359,0.00283908,0.000946359
24,99.1604,0.68451,2.52443,1.06661,0.01325,1,0.86429,0.6081,0.60764,2.77101,1.30395,0.00291347,0.000971157,0.00291347,0.000971157,0.00291347,0.000971157,0.00291347,0.000971157
25,101.135,0.69302,2.3864,1.00713,0.0127,1,0.971,0.72341,0.6439,2.67185,1.27808,0.00298362,0.000994541,0.00298362,0.000994541,0.00298362,0.000994541,0.00298362,0.000994541
26,102.923,0.67928,2.3268,1.00391,0.01244,1,0.971,0.74822,0.68355,2.53512,1.28908,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903
27,104.711,0.69147,2.26934,1.04796,0.2754,1,0.955,0.7694,0.63718,2.38559,1.27538,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219
